cell,latitude,longitude,route_name,waypoint_id
4,59.12124924,5.4300385,Cruise_Haugesund_Skudefjorden_In_20210212,1
0,59.12124924,5.4300385,Cruise_Haugesund_Skudefjorden_In_20210212,1
1,59.12124924,5.4300385,Cruise_Haugesund_Skudefjorden_In_20210212,1
2,59.12124924,5.4300385,Cruise_Haugesund_Skudefjorden_In_20210212,1
3,59.12124924,5.4300385,Cruise_Haugesund_Skudefjorden_In_20210212,1
5,59.12124924,5.4300385,Cruise_Haugesund_Skudefjorden_In_20210212,1
6,59.12124924,5.4300385,Cruise_Haugesund_Skudefjorden_In_20210212,1
7,59.12124924,5.4300385,Cruise_Haugesund_Skudefjorden_In_20210212,1
8,59.12124924,5.4300385,Cruise_Haugesund_Skudefjorden_In_20210212,1
1,59.11304175,5.24570539,Cruise_Haugesund_Skudefjorden_In_20210212,2
0,59.11304175,5.24570539,Cruise_Haugesund_Skudefjorden_In_20210212,2
2,59.11304175,5.24570539,Cruise_Haugesund_Skudefjorden_In_20210212,2
3,59.11304175,5.24570539,Cruise_Haugesund_Skudefjorden_In_20210212,2
4,59.11304175,5.24570539,Cruise_Haugesund_Skudefjorden_In_20210212,2
5,59.11304175,5.24570539,Cruise_Haugesund_Skudefjorden_In_20210212,2
1,59.126527,5.15200109,Cruise_Haugesund_Skudefjorden_In_20210212,3
0,59.126527,5.15200109,Cruise_Haugesund_Skudefjorden_In_20210212,3
2,59.126527,5.15200109,Cruise_Haugesund_Skudefjorden_In_20210212,3
3,59.126527,5.15200109,Cruise_Haugesund_Skudefjorden_In_20210212,3
4,59.126527,5.15200109,Cruise_Haugesund_Skudefjorden_In_20210212,3
5,59.126527,5.15200109,Cruise_Haugesund_Skudefjorden_In_20210212,3
1,59.2542259,5.10146542,Cruise_Haugesund_Skudefjorden_In_20210212,4
0,59.2542259,5.10146542,Cruise_Haugesund_Skudefjorden_In_20210212,4
2,59.2542259,5.10146542,Cruise_Haugesund_Skudefjorden_In_20210212,4
3,59.2542259,5.10146542,Cruise_Haugesund_Skudefjorden_In_20210212,4
4,59.2542259,5.10146542,Cruise_Haugesund_Skudefjorden_In_20210212,4
5,59.2542259,5.10146542,Cruise_Haugesund_Skudefjorden_In_20210212,4
2,59.37830921,5.11160959,Cruise_Haugesund_Skudefjorden_In_20210212,5
1,59.37830921,5.11160959,Cruise_Haugesund_Skudefjorden_In_20210212,5
4,59.37830921,5.11160959,Cruise_Haugesund_Skudefjorden_In_20210212,5
5,59.37830921,5.11160959,Cruise_Haugesund_Skudefjorden_In_20210212,5
2,59.4158799,5.15745745,Cruise_Haugesund_Skudefjorden_In_20210212,6
1,59.4158799,5.15745745,Cruise_Haugesund_Skudefjorden_In_20210212,6
4,59.4158799,5.15745745,Cruise_Haugesund_Skudefjorden_In_20210212,6
5,59.4158799,5.15745745,Cruise_Haugesund_Skudefjorden_In_20210212,6
2,59.46814521,5.15631353,Cruise_Haugesund_Skudefjorden_In_20210212,7
1,59.46814521,5.15631353,Cruise_Haugesund_Skudefjorden_In_20210212,7
4,59.46814521,5.15631353,Cruise_Haugesund_Skudefjorden_In_20210212,7
5,59.46814521,5.15631353,Cruise_Haugesund_Skudefjorden_In_20210212,7
2,59.42538805,5.22663018,Cruise_Haugesund_Skudefjorden_In_20210212,8
1,59.42538805,5.22663018,Cruise_Haugesund_Skudefjorden_In_20210212,8
4,59.42538805,5.22663018,Cruise_Haugesund_Skudefjorden_In_20210212,8
5,59.42538805,5.22663018,Cruise_Haugesund_Skudefjorden_In_20210212,8
2,59.41596493,5.23630737,Cruise_Haugesund_Skudefjorden_In_20210212,9
1,59.41596493,5.23630737,Cruise_Haugesund_Skudefjorden_In_20210212,9
4,59.41596493,5.23630737,Cruise_Haugesund_Skudefjorden_In_20210212,9
5,59.41596493,5.23630737,Cruise_Haugesund_Skudefjorden_In_20210212,9
2,59.41222713,5.24206075,Cruise_Haugesund_Skudefjorden_In_20210212,10
1,59.41222713,5.24206075,Cruise_Haugesund_Skudefjorden_In_20210212,10
4,59.41222713,5.24206075,Cruise_Haugesund_Skudefjorden_In_20210212,10
5,59.41222713,5.24206075,Cruise_Haugesund_Skudefjorden_In_20210212,10
2,59.4095211,5.24785873,Cruise_Haugesund_Skudefjorden_In_20210212,11
1,59.4095211,5.24785873,Cruise_Haugesund_Skudefjorden_In_20210212,11
4,59.4095211,5.24785873,Cruise_Haugesund_Skudefjorden_In_20210212,11
5,59.4095211,5.24785873,Cruise_Haugesund_Skudefjorden_In_20210212,11
6,58.97756611,5.72598921,Cruise_Stavanger_Skudefjorden_Out_20210212,1
3,58.97756611,5.72598921,Cruise_Stavanger_Skudefjorden_Out_20210212,1
4,58.97756611,5.72598921,Cruise_Stavanger_Skudefjorden_Out_20210212,1
7,58.97756611,5.72598921,Cruise_Stavanger_Skudefjorden_Out_20210212,1
6,58.98633212,5.71134896,Cruise_Stavanger_Skudefjorden_Out_20210212,2
3,58.98633212,5.71134896,Cruise_Stavanger_Skudefjorden_Out_20210212,2
4,58.98633212,5.71134896,Cruise_Stavanger_Skudefjorden_Out_20210212,2
7,58.98633212,5.71134896,Cruise_Stavanger_Skudefjorden_Out_20210212,2
6,59.0034202,5.69128408,Cruise_Stavanger_Skudefjorden_Out_20210212,3
3,59.0034202,5.69128408,Cruise_Stavanger_Skudefjorden_Out_20210212,3
4,59.0034202,5.69128408,Cruise_Stavanger_Skudefjorden_Out_20210212,3
7,59.0034202,5.69128408,Cruise_Stavanger_Skudefjorden_Out_20210212,3
7,59.0315842,5.62486781,Cruise_Stavanger_Skudefjorden_Out_20210212,4
3,59.0315842,5.62486781,Cruise_Stavanger_Skudefjorden_Out_20210212,4
4,59.0315842,5.62486781,Cruise_Stavanger_Skudefjorden_Out_20210212,4
5,59.0315842,5.62486781,Cruise_Stavanger_Skudefjorden_Out_20210212,4
6,59.0315842,5.62486781,Cruise_Stavanger_Skudefjorden_Out_20210212,4
8,59.0315842,5.62486781,Cruise_Stavanger_Skudefjorden_Out_20210212,4
7,59.04514792,5.59887,Cruise_Stavanger_Skudefjorden_Out_20210212,5
3,59.04514792,5.59887,Cruise_Stavanger_Skudefjorden_Out_20210212,5
4,59.04514792,5.59887,Cruise_Stavanger_Skudefjorden_Out_20210212,5
5,59.04514792,5.59887,Cruise_Stavanger_Skudefjorden_Out_20210212,5
6,59.04514792,5.59887,Cruise_Stavanger_Skudefjorden_Out_20210212,5
8,59.04514792,5.59887,Cruise_Stavanger_Skudefjorden_Out_20210212,5
4,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
0,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
1,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
2,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
3,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
5,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
6,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
7,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
8,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
4,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
0,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
1,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
2,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
3,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
5,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
6,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
7,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
8,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
