route_name,waypoint_id,latitude,longitude
Cruise_Haugesund_Skudefjorden_In_20210212,1,59.12124924,5.4300385
Cruise_Haugesund_Skudefjorden_In_20210212,2,59.11304175,5.24570539
Cruise_Haugesund_Skudefjorden_In_20210212,3,59.126527,5.15200109
Cruise_Haugesund_Skudefjorden_In_20210212,4,59.2542259,5.10146542
Cruise_Haugesund_Skudefjorden_In_20210212,5,59.37830921,5.11160959
Cruise_Haugesund_Skudefjorden_In_20210212,6,59.4158799,5.15745745
Cruise_Haugesund_Skudefjorden_In_20210212,7,59.46814521,5.15631353
Cruise_Haugesund_Skudefjorden_In_20210212,8,59.42538805,5.22663018
Cruise_Haugesund_Skudefjorden_In_20210212,9,59.41596493,5.23630737
Cruise_Haugesund_Skudefjorden_In_20210212,10,59.41222713,5.24206075
Cruise_Haugesund_Skudefjorden_In_20210212,11,59.4095211,5.24785873
Cruise_Stavanger_Skudefjorden_Out_20210212,1,58.97756611,5.72598921
Cruise_Stavanger_Skudefjorden_Out_20210212,2,58.98633212,5.71134896
Cruise_Stavanger_Skudefjorden_Out_20210212,3,59.0034202,5.69128408
Cruise_Stavanger_Skudefjorden_Out_20210212,4,59.0315842,5.62486781
Cruise_Stavanger_Skudefjorden_Out_20210212,5,59.04514792,5.59887
Cruise_Stavanger_Skudefjorden_Out_20210212,6,59.11010337,5.51029227
Cruise_Stavanger_Skudefjorden_Out_20210212,7,59.12124917,5.43003904
Cruise_Stavanger_Skudefjorden_Out_20210212,8,59.09098201,5.31941936
Cruise_Stavanger_Feistein_In_20210212,1,58.79531973,5.39650212
Cruise_Stavanger_Feistein_In_20210212,2,58.85414892,5.51532601
Cruise_Stavanger_Feistein_In_20210212,3,58.92870516,5.54696341
Cruise_Stavanger_Feistein_In_20210212,4,58.97875881,5.55315073
Cruise_Stavanger_Feistein_In_20210212,5,59.01206425,5.53961858
Cruise_Stavanger_Feistein_In_20210212,6,59.03717101,5.54017967
Cruise_Stavanger_Feistein_In_20210212,7,59.06251236,5.57026848
Cruise_Stavanger_Feistein_In_20210212,8,59.02928999,5.62065085
Cruise_Stavanger_Feistein_In_20210212,9,59.00260332,5.68410413
Cruise_Stavanger_Feistein_In_20210212,10,58.98616667,5.7116
Cruise_Stavanger_Feistein_In_20210212,11,58.97757596,5.72596554
Cruise_Haugesund_Skudefjorden_Out_20210212,1,59.4095211,5.24785873
Cruise_Haugesund_Skudefjorden_Out_20210212,2,59.41222713,5.24206075
Cruise_Haugesund_Skudefjorden_Out_20210212,3,59.41596493,5.23630737
Cruise_Haugesund_Skudefjorden_Out_20210212,4,59.42538805,5.22663018
Cruise_Haugesund_Skudefjorden_Out_20210212,5,59.46814508,5.15631383
Cruise_Haugesund_Skudefjorden_Out_20210212,6,59.41588239,5.1574496
Cruise_Haugesund_Skudefjorden_Out_20210212,7,59.3726682,5.10435445
Cruise_Haugesund_Skudefjorden_Out_20210212,8,59.25442045,5.09480562
Cruise_Haugesund_Skudefjorden_Out_20210212,9,59.12389938,5.14593241
Cruise_Haugesund_Skudefjorden_Out_20210212,10,59.10633076,5.24267426
Cruise_Haugesund_Skudefjorden_Out_20210212,11,59.10741116,5.46458765
Cruise_Stavanger_Skudefjorden_In_20210212,1,59.07455409,5.34576314
Cruise_Stavanger_Skudefjorden_In_20210212,2,59.10743148,5.46457765
Cruise_Stavanger_Skudefjorden_In_20210212,3,59.10442634,5.50323349
Cruise_Stavanger_Skudefjorden_In_20210212,4,59.04567584,5.58379716
Cruise_Stavanger_Skudefjorden_In_20210212,5,59.02928999,5.62065085
Cruise_Stavanger_Skudefjorden_In_20210212,6,59.00260332,5.68410413
Cruise_Stavanger_Skudefjorden_In_20210212,7,58.98633333,5.71132956
Cruise_Stavanger_Skudefjorden_In_20210212,8,58.97757596,5.72596554
Cruise_Stavanger_Feistein_Out_20210212,1,58.97756611,5.72598921
Cruise_Stavanger_Feistein_Out_20210212,2,58.98633212,5.71134896
Cruise_Stavanger_Feistein_Out_20210212,3,59.0034202,5.69128408
Cruise_Stavanger_Feistein_Out_20210212,4,59.03169439,5.62475297
Cruise_Stavanger_Feistein_Out_20210212,5,59.06223487,5.57044147
Cruise_Stavanger_Feistein_Out_20210212,6,59.03719746,5.53981905
Cruise_Stavanger_Feistein_Out_20210212,7,59.01186667,5.53968815
Cruise_Stavanger_Feistein_Out_20210212,8,58.97867789,5.55214898
Cruise_Stavanger_Feistein_Out_20210212,9,58.92876049,5.54681321
Cruise_Stavanger_Feistein_Out_20210212,10,58.86141213,5.50703709
Cruise_Stavanger_Feistein_Out_20210212,11,58.7985905,5.38983562
